iter	Passed	Remaining
0	0	818
1	1	752
2	2	704
3	2	670
4	3	652
5	3	638
6	4	635
7	5	645
8	5	640
9	6	635
10	7	637
11	7	630
12	8	624
13	8	622
14	9	623
15	10	619
16	10	614
17	11	612
18	11	606
19	12	609
20	13	614
21	13	614
22	14	612
23	15	612
24	15	613
25	16	614
26	16	612
27	17	607
28	18	607
29	18	608
30	19	610
31	20	608
32	20	607
33	21	606
34	21	604
35	22	601
36	23	600
37	23	600
38	24	598
39	24	597
40	25	596
41	26	596
42	26	594
43	27	597
44	28	600
45	28	600
46	29	599
47	30	597
48	30	597
49	31	595
50	32	596
51	32	594
52	33	593
53	33	593
54	34	591
55	35	591
56	35	591
57	36	589
58	36	588
59	37	587
60	38	586
61	38	584
62	39	583
63	39	582
64	40	581
65	41	580
66	41	579
67	42	579
68	42	579
69	43	580
70	44	579
71	44	577
72	45	577
73	46	577
74	46	576
75	47	574
76	47	574
77	48	573
78	49	572
79	49	573
80	50	572
81	51	572
82	51	568
83	52	567
84	52	566
85	53	565
86	53	564
87	54	564
88	55	563
89	55	561
90	56	561
91	56	560
92	57	561
93	58	561
94	58	561
95	59	562
96	60	561
97	60	561
98	61	560
99	62	558
100	62	557
101	63	557
102	63	557
103	64	556
104	65	556
105	65	555
106	66	556
107	67	556
108	67	555
109	68	554
110	69	553
111	69	552
112	70	550
113	70	550
114	71	550
115	72	549
116	72	548
117	73	548
118	74	548
119	74	548
120	75	548
121	75	546
122	76	545
123	77	545
124	77	544
125	78	543
126	78	541
127	79	541
128	80	541
129	80	540
130	81	539
131	81	538
132	82	537
133	82	535
134	83	534
135	83	533
136	84	532
137	84	530
138	85	529
139	86	528
140	86	527
141	86	525
142	87	525
143	88	525
144	89	525
145	89	525
146	90	524
147	91	523
148	91	523
149	92	522
150	92	521
151	93	520
152	93	519
153	94	518
154	95	518
155	95	518
156	96	517
157	96	516
158	97	515
159	97	514
160	98	512
161	98	511
162	99	510
163	99	509
164	100	509
165	101	508
166	101	507
167	102	506
168	103	506
169	103	506
170	104	506
171	104	505
172	105	504
173	105	503
174	106	502
175	107	501
176	107	500
177	108	499
178	108	498
179	109	498
180	110	498
181	110	497
182	111	496
183	111	495
184	112	494
185	112	493
186	113	492
187	113	492
188	114	491
189	115	490
190	115	489
191	116	488
192	116	487
193	117	486
194	117	486
195	119	488
196	119	487
197	120	486
198	120	486
